Tue May 20 02:59:52 2025    profiling_optimizado.prof

         208840 function calls (206203 primitive calls) in 0.323 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     96/1    0.001    0.000    0.324    0.324 {built-in method builtins.exec}
        1    0.019    0.019    0.214    0.214 <string>:22(<listcomp>)
   100000    0.196    0.000    0.196    0.000 <string>:6(es_primo)
    107/1    0.001    0.000    0.107    0.107 <frozen importlib._bootstrap>:1165(_find_and_load)
    107/1    0.000    0.000    0.107    0.107 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    102/1    0.000    0.000    0.106    0.106 <frozen importlib._bootstrap>:666(_load_unlocked)
     94/1    0.000    0.000    0.106    0.106 <frozen importlib._bootstrap_external>:934(exec_module)
    254/2    0.000    0.000    0.106    0.053 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.106    0.106 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\__init__.py:1(<module>)
    356/4    0.000    0.000    0.101    0.025 {built-in method builtins.__import__}
   204/31    0.000    0.000    0.099    0.003 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.051    0.051 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\lib\__init__.py:1(<module>)
        1    0.000    0.000    0.049    0.049 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\__config__.py:1(<module>)
        1    0.000    0.000    0.048    0.048 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\_core\__init__.py:1(<module>)
        1    0.000    0.000    0.031    0.031 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\lib\_index_tricks_impl.py:1(<module>)
       94    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.026    0.026 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\matrixlib\__init__.py:1(<module>)
        1    0.000    0.000    0.025    0.025 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\matrixlib\defmatrix.py:1(<module>)
        1    0.000    0.000    0.025    0.025 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\linalg\__init__.py:1(<module>)
        1    0.000    0.000    0.023    0.023 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\linalg\_linalg.py:1(<module>)
      104    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
   102/93    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.020    0.020 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\_typing\__init__.py:1(<module>)
       99    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
       99    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
      129    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
        3    0.000    0.000    0.017    0.006 <frozen importlib._bootstrap_external>:1231(create_module)
        3    0.009    0.003    0.017    0.006 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.015    0.015 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\_core\multiarray.py:1(<module>)
      352    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      353    0.014    0.000    0.014    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.014    0.014 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\_core\overrides.py:1(<module>)
  247/172    0.000    0.000    0.013    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\typing.py:373(inner)
        1    0.000    0.000    0.013    0.013 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\_core\numeric.py:1(<module>)
      105    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.011    0.011 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\lib\npyio.py:1(<module>)
        1    0.000    0.000    0.010    0.010 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\lib\_npyio_impl.py:1(<module>)
        1    0.000    0.000    0.009    0.009 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\_core\shape_base.py:1(<module>)
       94    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
       94    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.008    0.008 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\_core\fromnumeric.py:1(<module>)
      128    0.000    0.000    0.007    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\re\__init__.py:272(_compile)
        1    0.000    0.000    0.007    0.007 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\lib\format.py:1(<module>)
